,loss,binary_accuracy,auc,precision,recall
1,0.08318021893501283,0.9694917798042296,0.9954901337623596,0.9775474071502686,0.9610666632652284
2,0.08782234787940979,0.9687509536743164,0.995470643043518,0.9643936753273008,0.973451852798462
3,0.07646127045154573,0.971743941307068,0.9959538578987122,0.97733473777771,0.9658963084220886
4,0.08063238114118576,0.969699203968048,0.9955421090126038,0.9722081422805786,0.9670518636703492
5,0.07775770872831345,0.9723958969116212,0.9956778287887572,0.9740997552871704,0.9706073999404908
6,0.0848134234547615,0.969610333442688,0.9953479170799256,0.9808269739151,0.957955539226532
7,0.08208049833774568,0.9699807167053224,0.995361328125,0.9718866944313048,0.967970371246338
8,0.08300456404685974,0.969343602657318,0.9954003095626832,0.9667344093322754,0.9721481204032898
9,0.08170337229967117,0.9704544544219972,0.9955063462257384,0.9743382930755616,0.9663703441619872
10,0.07720557600259781,0.9719954133033752,0.9956791400909424,0.976917564868927,0.9668444395065308
